Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Integration_Time,Lamp_Power,Humidity,Temperature,Object
-7826114,-7873609,-7837443,-7732060,-7846219,-7766931,-7825283,-7786453,-7763834,-7826201,-7807703,-7851209,-7758391,-7865293,-7848245,-7825445,15,0,31,31,mantispectra_white_ref
-7826155,-7873668,-7837494,-7732141,-7846277,-7766983,-7825314,-7786492,-7763876,-7826243,-7807748,-7851216,-7758424,-7865317,-7848298,-7825513,15,0,31,31,mantispectra_white_ref
-7826195,-7873677,-7837513,-7732143,-7846280,-7767009,-7825339,-7786544,-7763911,-7826274,-7807762,-7851250,-7758462,-7865353,-7848336,-7825521,15,0,31,31,mantispectra_white_ref
-7826239,-7873748,-7837598,-7732242,-7846331,-7767082,-7825385,-7786608,-7763987,-7826333,-7807851,-7851333,-7758538,-7865406,-7848397,-7825598,15,0,31,31,mantispectra_white_ref
-7826273,-7873756,-7837616,-7732260,-7846381,-7767127,-7825423,-7786630,-7764007,-7826354,-7807872,-7851340,-7758562,-7865437,-7848416,-7825611,15,0,31,31,mantispectra_white_ref
-7826329,-7873789,-7837653,-7732319,-7846428,-7767172,-7825481,-7786690,-7764073,-7826412,-7807920,-7851400,-7758610,-7865476,-7848461,-7825668,15,0,31,31,mantispectra_white_ref
-7826357,-7873827,-7837686,-7732372,-7846463,-7767208,-7825514,-7786722,-7764105,-7826444,-7807945,-7851421,-7758652,-7865510,-7848472,-7825715,15,0,31,31,mantispectra_white_ref
-7826381,-7873825,-7837693,-7732371,-7846458,-7767228,-7825534,-7786731,-7764124,-7826455,-7807952,-7851430,-7758660,-7865521,-7848473,-7825725,15,0,31,31,mantispectra_white_ref
-7826435,-7873885,-7837763,-7732479,-7846533,-7767277,-7825588,-7786825,-7764207,-7826505,-7808035,-7851500,-7758759,-7865576,-7848541,-7825822,15,0,31,31,mantispectra_white_ref
-7826467,-7873927,-7837815,-7732520,-7846552,-7767332,-7825620,-7786858,-7764242,-7826544,-7808071,-7851537,-7758798,-7865616,-7848589,-7825833,15,0,31,31,mantispectra_white_ref
